Student_ID,Gender,Age,City,Department,Semester,Matric_Marks,Intermediate_Marks,Entry_Test_Score,Current_CGPA,Previous_Semester_GPA,Attendance_Percentage,Study_Hours_Per_Day,Sleep_Hours,Social_Media_Hours,Stress_Level,Motivation_Level,Discipline_Level,Programming_Skill_Level,Python_Knowledge,Java_Knowledge,Database_Knowledge,ML_Knowledge,Web_Development_Skill,GitHub_Projects_Count,Certifications_Count,Internship_Experience,Internship_Duration_Months,Scholarship,Hostel_Resident,Financial_Background,Transport_Mode,Communication_Skill,English_Level,Resume_Score,Job_Applications_Submitted,Offer_Letters_Received,Placement_Status
1037,Female,25,Lahore,IT,5,817,888,71,2.16,2.23,42,6.5,5.2,3.3,Medium,High,High,Advanced,5,0,6,0,9,16,5,Yes,12,No,No,Middle,Walk,1,Weak,82,14,5,Placed
1038,Female,25,Abbottabad,DS,3,916,936,32,2.23,2.09,78,7.9,4.7,0.5,High,Medium,Low,Intermediate,10,7,6,2,5,20,3,No,0,No,No,High,Bus,9,Fluent,66,2,0,Placed
1039,Female,20,Abbottabad,EE,2,865,763,31,1.84,2.12,70,7.9,5.9,4.0,Low,Medium,High,Intermediate,10,6,2,9,7,2,6,No,0,Yes,No,Middle,Bus,2,Fluent,79,33,1,Placed
1040,Female,25,Lahore,CS,2,851,1020,67,1.61,1.17,65,3.3,6.5,0.9,Low,Low,High,Intermediate,5,7,2,3,1,10,2,Yes,4,No,Yes,Middle,Walk,3,Weak,65,20,5,Placed
1041,Male,25,Peshawar,SE,2,604,920,76,3.77,4.0,63,7.7,7.9,0.3,Low,Low,Low,Advanced,5,3,1,3,1,8,8,Yes,6,Yes,No,High,Car,6,Weak,82,46,5,Placed
1042,Male,20,Mardan,DS,5,741,1065,39,2.2,1.73,96,6.1,8.0,4.4,Low,Medium,High,Intermediate,8,7,8,3,4,20,3,Yes,12,No,Yes,Low,Bus,8,Weak,91,9,1,Placed
1043,Male,26,Mardan,IT,1,759,683,82,2.36,2.32,42,6.5,4.8,3.4,High,Medium,High,Advanced,9,6,3,10,5,16,5,No,0,No,Yes,Middle,Car,8,Fluent,87,33,4,Placed
1044,Female,20,Islamabad,BBA,5,767,659,38,3.75,4.0,58,6.1,5.6,0.8,High,Medium,Low,Intermediate,10,8,2,8,0,1,5,No,0,No,Yes,High,Car,4,Fluent,62,0,2,Placed
1045,Male,24,Islamabad,EE,1,764,961,94,2.62,2.84,74,1.5,6.5,3.3,Medium,Low,Low,Intermediate,2,0,10,7,5,2,3,No,0,Yes,Yes,Middle,Car,4,Weak,79,42,5,Placed
1046,Female,22,Mardan,DS,4,641,742,66,2.39,2.48,40,5.3,8.0,0.7,Low,Low,Low,Advanced,9,6,4,5,7,8,4,Yes,10,No,Yes,Low,Bike,4,Fluent,57,17,4,Placed
1047,Female,25,Lahore,CS,2,754,715,67,2.25,2.35,41,6.1,8.0,4.5,Low,Medium,High,Intermediate,5,8,5,8,6,16,1,Yes,8,No,Yes,High,Car,9,Average,94,37,1,Placed
1048,Female,25,Lahore,EE,4,623,1087,56,2.04,1.7,72,1.5,6.9,5.4,Medium,High,High,Intermediate,2,3,9,5,4,1,8,No,0,No,Yes,High,Bus,8,Good,31,33,1,Placed
1049,Male,25,Islamabad,ME,8,810,1040,75,2.51,2.01,56,0.5,6.0,0.1,Medium,High,Medium,Intermediate,7,6,2,2,8,3,2,Yes,2,Yes,No,High,Car,3,Average,98,48,3,Placed
1050,Male,21,Peshawar,AI,1,1029,820,51,3.16,2.7,98,2.7,7.2,4.7,Low,Medium,High,Advanced,6,6,10,6,0,17,4,Yes,3,Yes,No,High,Bike,6,Good,59,46,2,Placed
1051,Female,24,Lahore,BBA,2,799,983,60,2.67,2.85,49,7.8,4.1,1.1,Medium,High,High,Intermediate,7,0,4,8,3,8,6,Yes,12,No,No,High,Bike,9,Average,42,40,5,Placed
1052,Female,19,Peshawar,AI,8,1036,809,54,3.77,3.66,76,6.2,5.0,5.5,Medium,High,Medium,Intermediate,9,7,2,7,6,13,7,No,0,No,No,High,Car,9,Good,93,4,1,Placed
1053,Female,19,Lahore,BBA,4,934,878,68,1.95,2.24,89,6.6,8.8,3.3,Low,Low,High,Beginner,2,3,3,9,9,15,0,No,0,Yes,Yes,Low,Bus,7,Good,44,6,2,Placed
1054,Female,22,Karachi,SE,4,638,733,31,1.72,2.08,66,7.8,4.8,3.0,Medium,Medium,High,Beginner,8,6,1,6,4,19,7,Yes,6,No,Yes,High,Bus,1,Fluent,69,36,3,Placed
1055,Male,25,Abbottabad,SE,1,989,699,88,1.95,1.76,77,5.6,8.0,0.7,Medium,High,Medium,Intermediate,10,2,0,5,8,18,6,Yes,5,No,No,Low,Bike,10,Fluent,86,39,1,Placed
1056,Female,18,Islamabad,IT,2,1094,838,93,2.01,2.32,83,3.0,4.5,4.1,High,High,Medium,Advanced,6,0,9,6,8,13,5,No,0,Yes,Yes,High,Bike,9,Good,100,12,2,Placed
1057,Female,21,Abbottabad,AI,7,702,676,92,2.49,2.48,57,2.5,4.8,3.0,Medium,Medium,High,Intermediate,6,5,9,6,4,16,5,No,0,No,No,Middle,Bus,8,Good,79,47,1,Placed
1058,Male,23,Mardan,CS,3,686,907,30,2.9,2.67,56,0.7,6.2,2.2,Medium,High,Low,Advanced,8,9,6,5,3,10,4,No,0,No,No,High,Bus,1,Good,60,23,1,Placed
1059,Male,24,Islamabad,AI,3,755,1099,97,1.61,2.03,86,5.1,7.0,1.5,Low,Medium,Low,Intermediate,0,7,3,7,3,8,0,Yes,12,No,Yes,Low,Bike,2,Average,75,2,5,Placed
1060,Male,26,Peshawar,ME,7,743,931,84,2.17,2.65,53,2.0,6.0,1.7,Low,High,High,Beginner,6,6,0,3,3,15,2,No,0,Yes,No,High,Car,4,Average,90,18,0,Placed
1061,Female,25,Karachi,EE,1,767,658,80,2.25,2.27,70,6.5,8.4,0.7,Low,Medium,Medium,Intermediate,9,7,7,9,10,6,7,Yes,1,No,Yes,Middle,Bike,9,Average,55,41,2,Placed
1062,Male,23,Islamabad,CS,6,616,695,89,1.57,1.47,82,6.2,4.9,3.8,Low,Low,High,Intermediate,8,7,5,6,7,15,0,Yes,3,Yes,Yes,High,Walk,2,Good,99,7,1,Placed
1063,Female,23,Islamabad,DS,2,855,810,94,2.61,2.44,84,6.0,8.6,1.2,Low,Medium,High,Advanced,8,0,7,9,1,20,0,Yes,1,No,No,Low,Walk,7,Good,76,13,4,Placed
1064,Male,26,Islamabad,AI,1,709,821,72,3.15,3.34,54,2.4,5.8,5.0,High,Medium,Medium,Intermediate,0,4,4,9,2,5,7,Yes,4,Yes,No,High,Car,9,Good,37,15,5,Placed
1065,Female,26,Islamabad,DS,5,1061,761,57,1.56,2.06,57,7.2,7.3,3.3,Low,Low,High,Beginner,10,0,7,10,5,0,6,No,0,Yes,Yes,High,Bike,6,Average,49,2,1,Placed
1066,Male,18,Mardan,SE,4,601,1100,61,1.57,1.67,62,6.9,5.3,2.4,High,Medium,Low,Beginner,9,1,5,4,0,14,2,Yes,2,Yes,No,Low,Bus,4,Average,50,1,2,Placed
1067,Female,18,Mardan,EE,3,1000,954,34,2.92,3.33,91,7.3,8.4,1.8,Medium,High,Medium,Advanced,0,5,4,8,4,6,7,No,0,No,No,Low,Car,9,Weak,75,40,5,Placed
1068,Female,23,Karachi,IT,3,1045,670,85,3.83,4.0,71,1.6,7.8,4.1,Low,Low,High,Advanced,9,5,1,8,5,11,2,No,0,Yes,No,Middle,Bus,6,Good,89,7,4,Placed
1069,Female,22,Abbottabad,DS,8,962,990,67,2.78,2.56,64,1.3,4.1,4.8,Low,Medium,Medium,Intermediate,1,5,0,8,9,20,2,No,0,No,Yes,Low,Bike,5,Average,66,38,2,Placed
1070,Female,23,Lahore,BBA,2,678,828,86,3.44,3.24,94,1.0,4.7,4.5,Low,Medium,High,Intermediate,7,10,7,7,4,18,5,No,0,Yes,Yes,Low,Walk,3,Weak,77,37,1,Placed
1071,Male,18,Abbottabad,ME,1,745,880,69,2.92,3.16,85,2.6,5.8,2.0,Medium,High,Low,Intermediate,7,4,1,6,6,6,2,No,0,No,Yes,Low,Bike,10,Fluent,73,21,0,Placed
1072,Female,25,Abbottabad,DS,1,678,851,48,3.2,3.1,64,2.8,8.6,4.7,High,Low,Medium,Intermediate,3,1,4,5,1,8,3,Yes,1,No,No,Middle,Bike,2,Fluent,93,22,2,Placed
1073,Female,20,Lahore,IT,7,1006,1096,91,3.25,3.61,75,7.7,5.0,4.0,Low,Medium,Low,Intermediate,6,6,8,0,8,0,5,Yes,9,No,Yes,Middle,Car,5,Average,41,23,2,Placed
1074,Male,19,Mardan,ME,4,1080,915,61,3.68,3.85,54,3.4,4.2,2.3,High,Low,Low,Beginner,6,0,8,9,8,17,8,Yes,1,No,No,High,Car,6,Average,33,6,2,Placed
1075,Female,24,Islamabad,DS,1,721,962,57,3.85,3.78,42,5.1,7.4,1.1,Medium,Medium,High,Intermediate,7,9,0,2,0,17,3,Yes,11,Yes,Yes,High,Bike,9,Average,87,6,3,Placed
1076,Female,22,Islamabad,SE,1,750,695,81,2.59,2.57,74,2.2,4.5,3.1,High,High,Medium,Intermediate,2,6,4,4,0,14,4,Yes,8,No,No,Low,Walk,9,Good,54,33,0,Placed
1077,Female,20,Abbottabad,DS,7,731,796,57,3.96,4.0,73,3.8,8.7,0.5,High,Low,High,Advanced,5,3,1,5,5,12,6,Yes,10,No,Yes,Low,Walk,5,Fluent,48,36,3,Placed
1078,Male,24,Mardan,EE,2,671,895,48,2.11,2.38,97,1.4,4.9,5.9,High,High,Medium,Advanced,10,10,2,4,6,15,8,Yes,4,No,Yes,Low,Walk,3,Fluent,53,3,3,Placed
1079,Female,25,Swat,DS,6,768,767,79,3.22,3.63,71,4.3,5.3,0.3,Medium,High,High,Advanced,5,10,7,10,6,14,5,Yes,1,No,No,Low,Car,9,Good,79,30,5,Placed
1080,Male,22,Karachi,AI,7,654,730,85,2.39,2.77,98,2.2,5.8,2.8,Medium,Low,Low,Advanced,4,2,0,0,4,2,2,No,0,No,No,High,Bus,9,Weak,85,15,2,Placed
1081,Female,26,Peshawar,BBA,1,714,762,100,2.3,2.34,91,3.1,4.5,2.2,Low,Low,High,Advanced,10,4,3,2,2,15,8,Yes,3,No,Yes,Middle,Car,7,Weak,82,6,0,Placed
1082,Female,25,Abbottabad,CS,1,778,835,67,2.95,3.22,63,1.6,6.6,3.6,Low,Medium,High,Beginner,5,9,9,0,5,15,2,No,0,No,Yes,Low,Bike,1,Fluent,53,12,0,Placed
1083,Female,25,Islamabad,BBA,2,678,1059,47,1.77,1.82,54,0.8,7.0,0.5,Medium,Medium,Low,Intermediate,7,4,5,3,7,9,1,Yes,1,No,Yes,Low,Car,8,Good,60,5,1,Placed
1084,Female,24,Peshawar,CS,3,782,773,95,1.56,1.82,54,2.0,6.1,0.5,High,Low,Low,Beginner,4,7,5,5,5,13,2,Yes,11,Yes,No,High,Walk,8,Weak,47,29,5,Placed
1085,Female,23,Peshawar,EE,8,638,995,39,3.93,3.51,42,3.7,6.3,0.0,Medium,High,Medium,Intermediate,8,1,6,7,9,5,3,Yes,10,Yes,Yes,Low,Bike,4,Good,76,46,4,Placed
1086,Male,25,Abbottabad,CS,8,870,716,34,1.87,1.55,77,2.7,4.5,0.9,Medium,High,Medium,Intermediate,10,4,6,8,5,3,5,Yes,12,Yes,No,Low,Bus,10,Weak,33,34,4,Placed
1087,Female,18,Peshawar,AI,4,813,703,60,1.52,1.5,58,3.4,5.2,2.2,Low,High,High,Advanced,5,4,3,7,0,18,0,Yes,7,No,Yes,Middle,Walk,9,Good,66,9,0,Placed
1088,Male,25,Karachi,CS,2,686,882,58,3.66,4.0,92,1.9,8.4,4.2,Medium,High,Low,Advanced,10,9,7,1,7,11,8,Yes,8,No,No,Middle,Bus,7,Average,97,31,5,Placed
1089,Female,18,Abbottabad,IT,1,642,996,78,3.02,3.07,83,3.1,8.1,2.2,Medium,High,High,Beginner,3,10,1,7,9,12,3,Yes,9,No,No,Low,Walk,5,Good,93,40,2,Placed
1090,Male,21,Peshawar,BBA,8,1042,788,30,2.94,2.83,41,5.5,9.0,5.1,High,High,Medium,Advanced,0,7,8,10,5,4,6,Yes,10,Yes,No,Low,Car,3,Fluent,87,50,5,Placed
1091,Female,26,Islamabad,CS,2,823,1029,30,2.97,2.54,41,7.9,7.9,5.3,Medium,High,High,Intermediate,4,9,0,8,1,1,7,Yes,8,No,Yes,High,Bus,1,Fluent,55,44,4,Placed
1092,Male,18,Mardan,IT,5,666,1051,42,1.76,1.6,82,4.9,5.9,0.8,High,Low,Low,Intermediate,10,10,9,6,4,0,6,Yes,11,No,No,Middle,Bus,8,Fluent,87,2,2,Placed
1093,Female,21,Lahore,ME,5,622,624,93,2.39,2.31,86,4.5,4.9,4.0,Medium,High,Medium,Beginner,4,8,6,10,7,11,3,Yes,12,Yes,No,High,Walk,9,Good,45,18,3,Placed
1094,Male,23,Swat,DS,4,840,984,45,1.94,1.58,74,2.3,6.9,2.3,High,Medium,High,Beginner,0,1,9,3,0,8,6,Yes,7,No,Yes,High,Bus,7,Weak,45,36,1,Placed
1095,Male,21,Islamabad,IT,4,928,801,97,1.83,2.13,88,4.7,4.2,3.3,High,Low,Low,Advanced,7,5,3,3,5,5,5,Yes,3,No,No,Middle,Walk,7,Average,51,11,4,Placed
1096,Female,22,Mardan,BBA,2,670,896,58,1.71,1.85,68,2.2,8.0,5.8,High,Medium,High,Beginner,8,6,5,0,3,14,4,No,0,No,No,High,Walk,6,Average,37,5,3,Placed
1097,Female,22,Mardan,AI,5,956,639,38,3.22,3.21,81,2.9,6.5,2.1,Medium,High,Medium,Beginner,0,9,2,7,2,19,0,Yes,12,Yes,No,High,Bike,5,Weak,95,26,1,Placed
1098,Male,24,Peshawar,EE,8,804,893,64,2.07,2.49,40,6.5,5.6,3.2,Medium,Medium,High,Advanced,10,4,4,1,0,0,1,No,0,No,No,High,Car,5,Weak,48,9,0,Placed
1099,Female,26,Swat,EE,2,900,725,77,2.62,3.07,53,7.7,8.3,4.6,Medium,Medium,Low,Advanced,3,8,4,8,10,3,1,No,0,Yes,Yes,Middle,Walk,2,Average,71,41,0,Placed
1100,Female,24,Abbottabad,SE,5,683,601,52,3.9,4.0,93,7.6,5.4,5.5,Low,Medium,Medium,Intermediate,5,4,6,9,2,7,2,Yes,8,Yes,No,Low,Bike,10,Fluent,66,24,0,Placed
1101,Male,18,Lahore,CS,7,1036,639,36,2.6,3.1,43,6.5,6.9,1.5,Medium,Medium,Medium,Intermediate,5,1,6,3,5,2,2,Yes,1,Yes,Yes,Middle,Bus,5,Fluent,40,4,3,Placed
1102,Male,22,Mardan,IT,6,800,784,31,1.85,1.69,57,1.4,5.0,1.3,High,Medium,Low,Beginner,9,1,5,6,5,3,8,No,0,No,Yes,High,Bus,8,Weak,42,47,2,Placed
1103,Female,19,Peshawar,DS,3,748,656,66,1.52,1.1,76,4.9,6.5,3.6,Low,High,Low,Beginner,8,5,6,9,9,18,3,Yes,7,No,Yes,Low,Bus,2,Weak,66,6,3,Placed
1104,Male,26,Abbottabad,DS,5,800,806,76,3.06,3.1,67,5.1,8.8,3.0,High,High,High,Beginner,8,2,7,2,9,7,1,No,0,Yes,No,Middle,Bike,7,Weak,88,7,2,Placed
1105,Male,26,Mardan,CS,2,711,652,75,2.51,2.89,46,1.9,8.4,3.1,Low,High,Low,Intermediate,2,3,4,2,8,0,4,No,0,No,Yes,Middle,Walk,3,Average,48,49,1,Not Placed
1106,Female,22,Mardan,SE,4,842,797,33,2.28,1.91,74,3.7,8.1,4.8,Medium,Low,Low,Intermediate,3,10,10,10,10,15,8,No,0,No,Yes,High,Walk,7,Weak,80,2,3,Placed
1107,Female,18,Karachi,AI,4,609,952,93,3.92,3.56,84,0.8,8.3,4.7,High,High,High,Beginner,7,2,5,4,2,11,6,No,0,Yes,Yes,Middle,Walk,5,Average,38,14,4,Placed
1108,Female,26,Karachi,IT,3,931,698,51,3.44,3.4,90,7.5,8.5,3.5,High,Low,Low,Advanced,10,6,8,0,7,8,0,No,0,No,Yes,Low,Bike,3,Average,59,5,5,Placed
1109,Male,19,Mardan,AI,6,603,1017,90,3.96,4.0,55,2.8,4.3,2.8,High,Medium,High,Advanced,0,7,7,5,0,17,8,No,0,Yes,No,Middle,Walk,5,Weak,66,26,1,Placed
1110,Male,23,Peshawar,BBA,2,783,742,51,1.91,1.78,79,6.4,5.4,1.5,Low,High,High,Advanced,5,5,1,3,3,10,0,No,0,No,Yes,High,Walk,10,Fluent,38,22,0,Placed
1111,Male,25,Mardan,DS,6,819,717,81,3.39,3.62,46,5.5,8.0,5.9,High,Medium,Low,Advanced,0,5,0,4,1,7,7,Yes,4,No,Yes,Middle,Walk,8,Weak,48,45,1,Placed
1112,Male,20,Peshawar,IT,8,934,971,59,2.38,2.74,44,7.2,8.1,5.2,Low,Low,Medium,Beginner,10,7,10,5,2,2,1,No,0,No,Yes,Middle,Car,3,Fluent,86,38,1,Placed
1113,Female,20,Peshawar,AI,1,897,1054,63,3.18,2.71,92,3.7,7.9,4.6,Low,High,Low,Advanced,3,8,1,8,0,13,3,No,0,Yes,Yes,Low,Car,5,Weak,100,19,0,Placed
1114,Female,25,Mardan,CS,3,881,840,98,2.61,2.9,73,2.5,6.1,2.5,Medium,Low,High,Beginner,3,2,1,4,9,0,7,Yes,5,Yes,No,High,Walk,4,Weak,46,13,2,Placed
1115,Female,24,Mardan,BBA,2,600,633,31,3.07,2.68,95,0.8,8.2,0.1,High,Low,High,Advanced,1,3,5,5,5,18,7,Yes,12,No,Yes,High,Car,5,Weak,47,22,3,Placed
1116,Male,25,Lahore,EE,2,886,1081,100,2.74,2.79,85,4.4,8.5,4.6,High,High,Low,Intermediate,7,7,6,7,7,2,5,No,0,No,Yes,Low,Car,4,Average,94,34,4,Placed
1117,Female,18,Islamabad,DS,8,763,774,94,2.52,2.53,54,0.8,6.9,2.2,Low,High,High,Intermediate,1,10,7,3,4,17,1,No,0,No,No,High,Bus,9,Good,33,50,0,Placed
1118,Male,21,Abbottabad,IT,6,1061,742,69,3.0,3.27,55,5.5,4.2,4.3,Low,Low,High,Intermediate,9,2,7,1,10,8,5,Yes,9,No,No,Middle,Bus,1,Average,82,29,5,Placed
1119,Female,25,Peshawar,DS,3,778,968,73,3.39,3.56,43,5.7,7.4,2.1,Medium,Low,High,Advanced,4,4,0,7,8,14,6,Yes,11,Yes,Yes,Low,Bus,8,Good,94,42,0,Placed
1120,Female,25,Lahore,IT,2,787,942,92,2.84,2.36,90,1.8,7.4,2.4,Low,Medium,Medium,Advanced,4,1,0,4,8,13,6,No,0,No,No,Low,Walk,8,Fluent,40,31,0,Placed
1121,Male,25,Karachi,IT,2,998,607,59,2.11,1.94,91,0.6,6.3,0.7,High,Medium,High,Beginner,0,4,10,4,3,14,0,No,0,No,No,High,Walk,4,Good,47,43,0,Placed
1122,Female,21,Abbottabad,IT,8,902,893,48,2.15,2.49,68,5.2,6.5,5.3,Low,Low,Medium,Intermediate,2,4,7,0,4,3,8,Yes,2,No,No,Low,Car,2,Weak,54,22,5,Placed
1123,Male,26,Peshawar,IT,3,629,611,61,2.18,2.58,69,3.3,8.1,0.5,Low,High,High,Intermediate,7,4,3,2,5,15,6,No,0,Yes,No,Low,Bike,5,Good,33,9,1,Placed
1124,Male,19,Lahore,IT,2,614,794,31,2.72,2.47,77,6.8,7.2,5.4,Medium,High,Low,Intermediate,6,10,9,3,0,11,0,Yes,11,No,No,Low,Walk,3,Average,52,47,2,Placed
1125,Male,23,Mardan,EE,2,942,991,69,2.18,1.82,47,6.7,7.4,0.7,Medium,High,High,Beginner,1,8,4,5,5,14,3,Yes,7,Yes,No,Low,Bus,6,Average,98,42,2,Placed
1126,Female,21,Islamabad,BBA,6,705,1085,72,3.69,3.36,77,2.2,4.3,2.1,Medium,Low,Medium,Intermediate,8,0,5,0,7,1,5,Yes,10,No,Yes,Middle,Bike,8,Fluent,95,11,2,Placed
1127,Female,22,Karachi,DS,5,756,818,66,3.52,3.07,76,3.4,5.2,4.8,Low,Medium,Medium,Intermediate,0,6,9,8,8,12,2,No,0,Yes,No,Middle,Bike,5,Fluent,99,37,1,Placed
1128,Male,18,Karachi,IT,3,680,1040,76,2.13,2.61,47,0.7,4.1,5.1,High,Low,Medium,Intermediate,3,9,6,0,1,1,6,Yes,11,No,No,Low,Walk,10,Good,58,8,2,Placed
1129,Female,21,Swat,IT,7,1022,718,68,2.12,2.25,89,0.9,4.3,0.8,High,Medium,High,Intermediate,8,8,4,4,2,17,7,Yes,11,Yes,No,Low,Walk,10,Good,75,26,5,Placed
1130,Female,23,Karachi,ME,2,963,1047,66,3.2,3.56,51,3.9,4.5,1.2,Medium,Medium,Low,Beginner,2,7,1,8,3,4,2,Yes,4,Yes,No,High,Car,5,Good,33,29,3,Placed
1131,Female,18,Islamabad,DS,7,793,718,94,1.7,1.32,61,5.5,4.8,0.6,Low,High,High,Intermediate,0,5,0,2,2,19,8,No,0,No,No,High,Bike,3,Good,34,8,3,Not Placed
1132,Female,20,Karachi,AI,4,1019,927,88,1.98,2.27,60,5.7,7.8,1.3,Medium,Low,Low,Advanced,7,8,3,9,6,2,2,Yes,1,Yes,No,Low,Walk,6,Fluent,45,16,1,Placed
1133,Male,24,Swat,BBA,4,727,657,33,2.39,1.89,95,4.2,5.8,2.2,Low,Low,Low,Beginner,9,8,3,1,8,7,7,Yes,8,Yes,Yes,Middle,Walk,1,Good,76,39,3,Placed
1134,Female,26,Swat,BBA,1,942,1067,77,3.02,3.35,97,7.8,7.5,1.0,Low,Low,Low,Beginner,0,8,2,6,8,0,0,No,0,Yes,Yes,Low,Walk,10,Average,37,33,4,Placed
1135,Female,23,Peshawar,EE,1,917,1064,96,3.3,3.75,48,2.3,5.6,0.5,Low,Medium,Medium,Beginner,1,7,5,7,9,6,0,Yes,9,Yes,No,Low,Bike,3,Weak,55,0,1,Placed
1136,Female,18,Swat,ME,7,766,774,99,2.35,2.84,71,5.4,7.9,3.1,High,Medium,Low,Beginner,9,5,9,1,4,1,5,Yes,4,No,No,High,Bike,5,Weak,86,28,1,Placed
1137,Female,22,Lahore,SE,1,738,991,71,3.78,3.96,59,6.4,7.3,5.5,Medium,Medium,Low,Advanced,4,6,2,1,7,8,6,Yes,10,No,Yes,Middle,Walk,4,Good,67,28,4,Placed
1138,Male,26,Islamabad,BBA,8,802,930,85,2.64,2.29,57,5.2,4.4,5.7,Low,Low,Medium,Advanced,6,4,1,8,7,20,3,No,0,Yes,No,Middle,Bus,10,Good,87,36,1,Placed
1139,Male,23,Mardan,SE,5,825,601,67,1.6,1.73,55,7.9,4.1,2.6,Medium,Low,Medium,Intermediate,3,6,5,1,8,11,7,No,0,Yes,Yes,Low,Car,7,Fluent,52,49,3,Placed
1140,Male,25,Karachi,SE,2,774,834,94,3.66,3.51,49,6.9,6.8,0.0,Medium,Medium,High,Beginner,9,1,5,3,2,5,4,No,0,Yes,Yes,High,Bus,6,Weak,79,13,3,Placed
1141,Male,21,Abbottabad,DS,2,773,934,54,1.81,1.83,92,7.3,7.2,1.5,Medium,Low,Medium,Intermediate,6,8,4,9,10,14,7,Yes,7,Yes,Yes,Middle,Bike,1,Weak,93,50,1,Placed
1142,Female,18,Islamabad,DS,2,1086,745,55,2.47,2.41,86,7.0,5.5,2.9,High,Medium,Medium,Beginner,10,10,6,3,8,13,7,No,0,No,No,Middle,Bus,3,Average,40,23,4,Placed
1143,Female,22,Lahore,ME,5,719,921,38,2.13,2.36,44,2.6,5.8,2.9,High,High,High,Beginner,9,8,8,7,2,6,6,Yes,11,Yes,Yes,Low,Car,5,Weak,52,10,0,Placed
1144,Male,25,Islamabad,IT,4,967,739,95,2.15,2.43,95,7.8,4.0,4.0,High,High,Low,Advanced,6,7,7,1,5,3,4,No,0,Yes,No,Middle,Walk,8,Good,78,36,0,Placed
1145,Female,23,Swat,ME,7,984,1017,81,3.83,4.0,71,7.4,8.7,4.9,Medium,Medium,Medium,Beginner,6,6,6,4,7,1,6,Yes,1,No,Yes,High,Walk,9,Good,75,11,0,Placed
1146,Female,26,Islamabad,ME,3,784,753,65,1.85,1.35,77,4.7,4.7,2.9,Low,Low,Medium,Intermediate,1,10,8,5,0,19,6,No,0,Yes,No,High,Bike,3,Average,98,30,1,Placed
1147,Male,18,Karachi,AI,3,645,878,54,4.0,4.0,91,7.0,4.3,1.5,Medium,High,Medium,Intermediate,3,3,0,1,1,16,1,No,0,No,No,High,Bike,5,Good,32,20,2,Placed
1148,Male,20,Abbottabad,EE,2,1079,729,74,2.64,3.09,61,1.1,7.0,1.2,Medium,High,Medium,Advanced,3,5,1,7,9,6,8,Yes,11,Yes,No,Middle,Walk,9,Good,88,15,5,Placed
1149,Female,26,Lahore,EE,5,1083,949,79,3.76,3.95,44,4.0,4.7,3.2,Medium,High,High,Intermediate,9,9,9,1,6,8,2,No,0,No,Yes,High,Car,7,Weak,69,18,1,Placed
1150,Female,25,Swat,ME,4,624,646,30,1.83,2.32,67,4.1,7.0,4.4,Medium,High,Low,Advanced,7,1,9,0,10,4,5,No,0,Yes,Yes,Low,Bus,1,Fluent,54,36,0,Placed
1151,Female,20,Swat,DS,5,772,817,82,2.04,2.33,66,5.7,4.5,0.9,Medium,Low,Low,Intermediate,9,3,10,5,0,4,8,Yes,7,Yes,No,Low,Bus,5,Good,54,3,5,Placed
1152,Female,19,Islamabad,DS,3,985,1085,74,1.62,1.4,43,1.6,5.5,1.7,Low,Low,Low,Beginner,0,9,3,3,2,1,8,Yes,3,No,No,Low,Bike,10,Average,89,39,0,Placed
1153,Female,21,Islamabad,BBA,4,922,929,58,2.72,2.57,100,7.5,6.4,4.5,Medium,Medium,Low,Beginner,4,7,6,1,7,14,2,Yes,6,No,No,High,Bus,6,Good,90,11,3,Placed
1154,Male,21,Abbottabad,AI,3,671,1092,38,2.36,2.79,78,2.5,4.3,2.8,Medium,Low,Low,Beginner,1,3,4,3,10,18,3,Yes,8,No,Yes,Middle,Walk,1,Weak,85,45,4,Placed
1155,Female,21,Mardan,ME,2,906,724,76,2.29,2.46,84,5.0,6.2,0.9,High,Medium,Medium,Intermediate,1,4,2,1,1,5,6,No,0,No,Yes,Low,Bus,3,Good,34,12,3,Not Placed
1156,Female,22,Peshawar,DS,4,814,901,41,2.13,1.79,92,1.7,8.0,4.7,High,High,Medium,Beginner,0,10,0,7,10,5,2,Yes,6,Yes,No,High,Bus,8,Average,80,34,2,Placed
1157,Female,21,Abbottabad,BBA,4,940,816,57,3.09,2.73,42,0.6,8.5,3.5,Medium,High,Low,Intermediate,8,6,10,7,7,9,5,No,0,Yes,No,Low,Bike,7,Average,77,15,2,Placed
1158,Female,21,Swat,SE,5,943,811,97,2.21,2.53,92,3.3,8.9,3.9,Low,High,Medium,Advanced,1,5,4,6,3,3,5,No,0,Yes,No,Low,Bike,8,Good,70,25,4,Placed
1159,Female,24,Lahore,BBA,7,1070,1075,59,3.26,3.21,40,0.8,8.6,5.6,Low,High,Medium,Advanced,5,2,2,9,6,16,4,Yes,1,Yes,Yes,Low,Bike,5,Good,47,21,2,Placed
1160,Male,21,Lahore,ME,3,745,673,84,2.27,1.83,54,4.1,5.4,2.5,Medium,High,Low,Advanced,9,7,0,8,1,15,3,Yes,2,Yes,Yes,Middle,Car,3,Good,52,38,1,Placed
1161,Female,18,Islamabad,IT,5,835,1012,85,3.19,3.36,76,3.5,5.3,0.8,Low,Medium,High,Intermediate,5,3,9,0,8,17,7,No,0,No,No,High,Bus,4,Fluent,67,9,2,Placed
